Source,Target,Type,Label,Weight
ART_27,AUT_Петрович,Directed,cites,1
ART_27,AUT_Титова,Directed,cites,1
ART_28,AUT_Суслова,Directed,cites,1
ART_28,AUT_Садыкова,Directed,cites,1
ART_28,AUT_Соболева,Directed,cites,1
ART_28,AUT_Караваев,Directed,cites,1
ART_28,AUT_Ярина,Directed,cites,1
ART_28,AUT_Левченко,Directed,cites,1
ART_28,AUT_Павлюк,Directed,cites,1
ART_28,AUT_Паскова,Directed,cites,1
ART_29,AUT_Дунаева,Directed,cites,1
ART_29,AUT_Васильева,Directed,cites,1
ART_29,AUT_Мантусов,Directed,cites,1
ART_29,AUT_Сысоев,Directed,cites,1
ART_29,AUT_Игнатьева,Directed,cites,1
ART_29,AUT_Богомолов,Directed,cites,1
ART_29,AUT_Прохоров,Directed,cites,1
ART_29,AUT_Левина,Directed,cites,1
ART_29,AUT_Филатов,Directed,cites,1
ART_30,AUT_Пассов,Directed,cites,1
ART_30,AUT_Гарднер,Directed,cites,1
ART_30,AUT_Караулов,Directed,cites,1
ART_31,AUT_Еремина,Directed,cites,1
ART_31,AUT_Иванов,Directed,cites,1
ART_31,AUT_Сысоев,Directed,cites,1
ART_31,AUT_Дзюба,Directed,cites,1
ART_31,AUT_Мушенко,Directed,cites,1
ART_31,AUT_Гурова,Directed,cites,1
ART_32,AUT_Гальскова,Directed,cites,1
ART_32,AUT_Пассов,Directed,cites,1
ART_32,AUT_Гез,Directed,cites,1
ART_32,AUT_Щукин,Directed,cites,1
ART_32,AUT_Бим,Directed,cites,1
ART_32,AUT_Азимов,Directed,cites,1
ART_33,AUT_Сакаргалиева,Directed,cites,1
ART_33,AUT_Сысоев,Directed,cites,1
ART_33,AUT_Игисинова,Directed,cites,1
ART_33,AUT_Ельникова,Directed,cites,1
ART_33,AUT_Филатов,Directed,cites,1
ART_36,AUT_Болл,Directed,cites,1
ART_37,AUT_Еремина,Directed,cites,1
ART_37,AUT_Козловцева,Directed,cites,1
ART_37,AUT_Дзюба,Directed,cites,1
ART_37,AUT_Ельникова,Directed,cites,1
ART_37,AUT_Мушенко,Directed,cites,1
ART_37,AUT_Писарь,Directed,cites,1
ART_38,AUT_Щербов,Directed,cites,1
ART_38,AUT_Дрейфельд,Directed,cites,1
ART_38,AUT_Рего,Directed,cites,1
ART_38,AUT_Житкова,Directed,cites,1
ART_38,AUT_Александрова,Directed,cites,1
ART_38,AUT_Заболотнева,Directed,cites,1
ART_38,AUT_Кожухова,Directed,cites,1
ART_38,AUT_Сорокин,Directed,cites,1
ART_38,AUT_Питина,Directed,cites,1
ART_38,AUT_Якобсон,Directed,cites,1
ART_38,AUT_Сысоев,Directed,cites,1
ART_38,AUT_Беленева,Directed,cites,1
ART_38,AUT_Ахмедова,Directed,cites,1
ART_38,AUT_Буланова,Directed,cites,1
ART_38,AUT_Козловская,Directed,cites,1
ART_38,AUT_Карпова,Directed,cites,1
ART_38,AUT_Авраменко,Directed,cites,1
ART_38,AUT_Филатов,Directed,cites,1
ART_40,AUT_Никитин,Directed,cites,1
ART_40,AUT_Кожевникова,Directed,cites,1
ART_40,AUT_Пшеничный,Directed,cites,1
ART_40,AUT_Матухин,Directed,cites,1
ART_40,AUT_Патрушева,Directed,cites,1
ART_40,AUT_Фурс,Directed,cites,1
ART_40,AUT_Ельникова,Directed,cites,1
